category, name, film, winner, 
OUTSTANDING PRODUCTION, Fox, Bad Girl, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, The Champ, False, 
OUTSTANDING PRODUCTION, First National, Five Star Final, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, Grand Hotel, True, 
OUTSTANDING PRODUCTION, Paramount Publix, One Hour with You, False, 
OUTSTANDING PRODUCTION, Paramount Publix, Shanghai Express, False, 
OUTSTANDING PRODUCTION, Paramount Publix, The Smiling Lieutenant, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", Flowers and Trees, True, 
SHORT SUBJECT (Cartoon), "Leon Schlesinger,  Producer", It's Got Me Again, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", Mickey's Orphans, False, 
SHORT SUBJECT (Comedy), "Mack Sennett,  Producer", The Loud Mouth, False, 
SHORT SUBJECT (Comedy), "Hal Roach,  Producer", The Music Box, True, 
SHORT SUBJECT (Comedy), RKO Radio, Scratch-As-Catch-Can, False, 
SHORT SUBJECT (Comedy), RKO Radio, Stout Hearts and Willing Hands, False, 
SHORT SUBJECT (Novelty), Paramount Publix, Screen Souvenirs, False, 
SHORT SUBJECT (Novelty), Metro-Goldwyn-Mayer, Swing High, False, 
SHORT SUBJECT (Novelty), "Mack Sennett,  Producer", Wrestling Swordfish, True, 
SOUND RECORDING, Metro-Goldwyn-Mayer Studio Sound Department, , False, 
SOUND RECORDING, Paramount Publix Studio Sound Department, , True, 
SOUND RECORDING, RKO Radio Studio Sound Department, , False, 
SOUND RECORDING, Warner Bros.-First National Studio Sound Department, , False, 
WRITING (Adaptation), Sidney Howard, Arrowsmith, False, 
WRITING (Adaptation), Edwin Burke, Bad Girl, True, 
WRITING (Adaptation), "Percy Heath,  Samuel Hoffenstein", Dr. Jekyll and Mr. Hyde, False, 
WRITING (Original Story), Frances Marion, The Champ, True, 
WRITING (Original Story), "Grover Jones,  William Slavens McNutt", Lady and Gent, False, 
WRITING (Original Story), Lucien Hubbard, The Star Witness, False, 
WRITING (Original Story), "Adela Rogers St. Johns,  Jane Murfin", What Price Hollywood?, False, 
SPECIAL AWARD, " Walt Disney for the creation of ""Mickey Mouse.""", , True, 
ACTOR, Leslie Howard, Berkeley Square, False, 
ACTOR, Charles Laughton, The Private Life of Henry VIII, True, 
ACTOR, Paul Muni, I Am a Fugitive from a Chain Gang, False, 
ACTRESS, Katharine Hepburn, Morning Glory, True, 
